FishID,CaptureDate,Location,Lengthmm,AHR,CYP1A,Gata3,HSP27,HSP70,HSP90,IFNa,Leptin,MT.A,MX1,SOD,tbx21,HSP70Protein,Treatment
CHINEM009,6/11/2016,Emmonak Test Fishery,778,6.26,5.69,7.40,2.66,1.80,1.03,9.37,14.37,-2.31,9.05,2.09,8.48,0.04,NA
CHINEM010,6/11/2016,Emmonak Test Fishery,808,6.98,7.21,10.01,2.12,1.53,0.37,8.23,7.94,-1.40,8.48,3.16,8.50,0.36,NA
CHINEM011,6/11/2016,Emmonak Test Fishery,932,4.99,3.30,4.93,-2.30,1.06,-0.02,7.36,11.60,-0.80,8.36,2.25,10.26,0.00,NA
CHINEM012,6/11/2016,Emmonak Test Fishery,790,6.33,7.50,9.91,4.67,1.75,6.44,11.33,34.00,0.09,11.88,2.78,9.22,0.93,NA
CHINEM013,6/11/2016,Emmonak Test Fishery,811,6.97,6.50,9.00,0.40,3.14,3.30,7.43,34.00,-3.90,34.00,4.20,6.96,0.04,NA
CHINEM014,6/11/2016,Emmonak Test Fishery,889,34.00,3.89,34.00,-6.47,-1.58,-6.20,0.13,34.00,-10.16,34.00,0.07,-0.46,0.23,NA
CHINEM015,6/11/2016,Emmonak Test Fishery,885,34.00,0.73,34.00,-6.97,-1.56,-3.47,1.07,0.76,-10.37,34.00,34.00,34.00,0.00,NA
CHINEM016,6/11/2016,Emmonak Test Fishery,829,7.08,7.66,9.42,3.32,2.64,4.71,10.79,10.87,-1.03,10.83,3.56,9.46,0.01,NA
CHINEM017,6/12/2016,Emmonak Test Fishery,781,4.94,6.38,6.66,-1.06,2.98,1.30,7.15,34.00,-4.43,9.49,4.97,5.51,0.02,NA
CHINEM018,6/12/2016,Emmonak Test Fishery,885,7.67,8.67,8.38,-1.26,3.30,1.82,8.67,11.83,-1.05,10.98,4.36,8.97,0.48,NA
CHINEM019,6/12/2016,Emmonak Test Fishery,737,6.68,6.76,6.88,-1.87,2.72,1.55,5.95,34.00,-3.94,9.90,3.73,8.82,0.02,NA
CHINEM020,6/12/2016,Emmonak Test Fishery,858,5.69,8.07,7.01,-2.68,2.67,-0.41,6.60,6.76,-2.38,9.70,3.93,8.41,0.22,NA
CHINEM021,6/12/2016,Emmonak Test Fishery,721,6.11,7.00,6.83,-3.36,2.86,0.36,7.08,8.70,-2.18,10.47,3.49,6.98,0.01,NA
CHINEM022,6/12/2016,Emmonak Test Fishery,811,8.17,11.49,9.28,-0.54,2.99,0.37,8.68,8.10,-1.38,11.72,4.31,9.92,0.24,NA
CHINEM023,6/12/2016,Emmonak Test Fishery,691,5.99,6.05,6.49,-1.49,2.78,2.48,7.69,12.56,-1.66,10.67,3.76,6.72,0.01,NA
CHINEM024,6/12/2016,Emmonak Test Fishery,1000,5.56,5.71,5.76,-1.53,2.33,1.22,5.95,11.89,-2.13,8.93,3.82,7.99,0.08,NA
CHINEM025,6/12/2016,Emmonak Test Fishery,852,6.80,6.84,7.74,-0.80,2.64,3.30,8.18,13.34,-1.24,11.15,3.00,8.55,0.11,NA
CHINEM026,6/12/2016,Emmonak Test Fishery,872,5.57,6.91,8.02,-1.68,1.01,-0.47,7.95,3.55,-0.10,8.36,1.75,8.27,0.04,NA
CHINEM027,6/12/2016,Emmonak Test Fishery,749,6.84,7.02,9.83,4.58,1.10,3.94,10.95,14.12,-0.42,11.04,2.16,9.58,0.00,NA
CHINEM028,6/12/2016,Emmonak Test Fishery,848,7.14,8.52,10.32,0.45,1.70,1.18,10.39,7.66,1.34,10.94,2.26,10.03,0.05,NA
CHINEM029,6/12/2016,Emmonak Test Fishery,757,6.51,9.59,9.54,-2.68,2.11,-0.30,6.67,5.57,-2.10,9.84,2.52,7.57,0.70,NA
CHINEM030,6/12/2016,Emmonak Test Fishery,763,6.64,9.29,8.33,-2.42,2.56,-1.23,6.38,5.53,-2.46,8.71,2.52,9.18,0.01,NA
CHINEM031,6/14/2016,Emmonak Test Fishery,974,5.75,7.53,6.88,-1.46,2.60,2.64,7.24,10.76,-1.60,10.41,3.35,9.48,0.01,NA
CHINEM032,6/14/2016,Emmonak Test Fishery,921,6.52,7.90,8.35,0.42,0.97,2.00,8.91,9.13,-0.07,9.48,3.29,8.63,0.57,NA
CHINEM033,6/14/2016,Emmonak Test Fishery,701,6.98,8.28,8.36,0.70,3.16,4.66,7.27,13.57,-2.23,8.91,3.53,9.03,0.01,NA
CHINEM034,6/14/2016,Emmonak Test Fishery,857,6.67,7.72,9.16,-0.27,1.97,2.33,8.46,6.47,-1.32,10.50,3.21,9.93,0.01,NA
CHINEM035,6/14/2016,Emmonak Test Fishery,895,7.28,7.88,8.48,0.32,2.15,4.03,10.23,14.98,-0.25,10.26,3.15,10.55,0.03,NA
CHINEM037,6/18/2016,Emmonak Test Fishery,330,6.39,7.55,9.10,0.96,2.23,4.62,8.00,14.61,-3.93,12.12,3.21,9.56,0.00,NA
CHINEM038,6/18/2016,Emmonak Test Fishery,874,6.02,6.12,6.94,-2.35,1.11,-0.38,7.44,7.78,-1.07,8.46,1.90,9.86,0.02,NA
CHINEM039,6/18/2016,Emmonak Test Fishery,835,6.77,8.20,10.45,-1.67,1.31,-2.42,6.24,5.09,-0.82,8.80,2.38,9.96,0.12,NA
CHINEM041,6/18/2016,Emmonak Test Fishery,736,6.46,6.52,7.23,-0.86,1.13,0.44,9.90,11.28,-0.28,9.66,1.94,10.12,0.04,NA
CHINEM042,6/18/2016,Emmonak Test Fishery,719,5.66,6.56,6.61,-0.47,1.08,0.06,9.58,13.50,-1.39,10.70,2.21,8.76,0.01,NA
CHINEM043,6/18/2016,Emmonak Test Fishery,628,6.36,5.60,6.53,-0.15,1.51,0.06,10.24,14.60,-0.42,10.47,1.94,8.67,0.01,NA
CHINEM044,6/18/2016,Emmonak Test Fishery,712,5.57,5.31,6.04,0.34,1.11,0.30,7.57,13.11,-2.13,6.92,2.07,9.14,0.03,NA
CHINEM045,6/18/2016,Emmonak Test Fishery,777,6.27,6.04,8.67,3.79,1.75,5.85,10.08,13.26,-1.22,9.85,2.40,10.20,0.01,NA
CHINEM046,6/18/2016,Emmonak Test Fishery,633,6.69,8.34,9.43,0.60,1.05,-2.16,6.84,7.38,-1.56,9.24,2.41,10.12,0.87,NA
CHINEM047,6/18/2016,Emmonak Test Fishery,779,4.70,6.08,6.26,-1.43,2.69,2.71,8.43,13.64,-1.72,10.03,2.88,9.43,0.03,NA
CHINEM048,6/8/2017,Emmonak Test Fishery,903,6.41,7.54,9.78,3.40,3.33,1.80,34.00,34.00,-0.63,34.00,3.53,9.67,0.05,NA
CHINEM049,6/10/2017,Emmonak Test Fishery,893,6.04,7.61,9.18,3.93,3.47,1.29,9.13,34.00,-1.78,10.20,3.47,8.17,0.08,NA
CHINEM051,6/10/2017,Emmonak Test Fishery,742,5.57,7.17,10.47,3.63,3.26,2.57,7.78,34.00,-0.93,9.91,3.23,8.48,0.14,NA
CHINEM052,6/10/2017,Emmonak Test Fishery,772,6.88,7.89,11.38,2.65,2.78,-1.54,8.34,34.00,-2.12,10.79,3.63,6.39,3.21,NA
CHINEM053,6/10/2017,Emmonak Test Fishery,817,5.21,6.22,8.42,3.74,2.21,-1.09,9.92,34.00,-0.69,10.32,3.20,8.21,2.64,NA
CHINEM054,6/12/2017,Emmonak Test Fishery,855,5.29,6.84,34.00,2.39,1.98,-0.11,7.33,10.14,-0.74,10.15,3.59,6.68,2.09,NA
CHINEM055,6/12/2017,Emmonak Test Fishery,785,7.74,8.42,9.53,1.97,3.24,0.20,7.15,9.85,-1.77,11.64,3.62,7.68,0.04,NA
CHINEM056,6/12/2017,Emmonak Test Fishery,808,6.34,7.86,34.00,2.50,3.28,-0.70,7.94,6.50,-1.63,10.15,3.26,8.70,0.01,NA
CHINEM057,6/12/2017,Emmonak Test Fishery,804,6.62,8.57,9.53,1.40,3.00,2.48,8.69,12.64,-2.23,12.22,3.36,8.27,0.64,NA
CHINEM059,6/16/2017,Emmonak Test Fishery,746,5.42,7.11,7.82,3.24,2.03,0.96,10.06,34.00,0.56,8.88,3.16,8.09,0.16,NA
CHINEM060,6/16/2017,Emmonak Test Fishery,812,4.57,5.75,7.44,2.14,1.94,-0.36,8.96,34.00,-0.36,9.06,3.30,8.02,0.40,NA
CHINEM062,6/18/2017,Emmonak Test Fishery,872,4.63,3.75,6.30,2.19,0.64,-3.23,8.14,34.00,-1.03,7.78,2.32,6.64,3.22,NA
CHINEM063,6/18/2017,Emmonak Test Fishery,648,5.47,7.80,10.80,4.17,2.15,0.96,10.31,34.00,-0.50,10.80,3.07,8.02,0.18,NA
CHINEM064,6/18/2017,Emmonak Test Fishery,693,6.03,7.28,10.05,3.32,2.40,1.06,9.95,34.00,-1.70,12.46,2.99,7.39,0.01,NA
CHINEM065,6/19/2017,Emmonak Test Fishery,791,6.05,8.16,10.41,4.52,2.10,3.94,10.17,34.00,-1.08,10.28,3.15,8.18,0.08,NA
CHINEM066,6/19/2017,Emmonak Test Fishery,724,5.84,6.83,8.21,3.51,2.58,1.92,9.93,15.20,-1.27,11.70,2.46,8.11,0.03,NA
CHINEM067,6/19/2017,Emmonak Test Fishery,824,6.30,9.52,11.19,3.65,2.00,-1.02,8.19,8.00,0.02,10.94,2.94,8.73,0.03,NA
CHINEM068,6/19/2017,Emmonak Test Fishery,879,4.12,4.67,5.06,0.28,0.92,-0.58,9.15,34.00,-0.02,8.06,1.81,6.70,0.06,NA
CHINEM069,6/19/2017,Emmonak Test Fishery,797,5.87,7.72,9.08,1.00,2.56,-1.31,8.10,7.40,-1.15,7.64,2.51,8.42,0.22,NA
CHINEM070,6/19/2017,Emmonak Test Fishery,712,4.51,6.11,6.93,4.09,1.46,2.15,9.54,34.00,-1.31,8.68,2.50,5.93,0.00,NA
CHINEM071,6/19/2017,Emmonak Test Fishery,568,5.06,8.53,10.53,3.82,1.28,-1.65,7.79,10.17,-0.68,9.24,2.15,9.14,0.12,NA
CHINEM072,6/19/2017,Emmonak Test Fishery,555,6.59,8.42,9.76,4.92,2.96,5.74,11.50,34.00,-1.33,12.03,3.76,10.38,0.02,NA
CHINEM073,6/19/2017,Emmonak Test Fishery,843,6.80,8.44,12.38,4.79,2.12,0.68,7.57,8.48,-0.10,11.46,3.25,8.22,0.02,NA
CHINEM074,6/19/2017,Emmonak Test Fishery,830,6.08,34.00,9.42,4.26,3.01,2.20,9.68,7.96,-0.31,11.82,3.45,10.25,0.02,NA
CHINEM075,6/19/2017,Emmonak Test Fishery,670,5.29,7.96,8.69,3.95,2.37,2.42,8.83,34.00,-1.67,10.83,2.58,8.43,0.01,NA
CHINEM076,6/19/2017,Emmonak Test Fishery,733,4.99,6.81,9.98,3.70,1.95,2.09,9.60,14.70,-0.90,10.78,2.75,9.41,0.00,NA
CHINEM077,6/19/2017,Emmonak Test Fishery,854,5.33,7.42,8.98,2.59,2.50,-0.43,9.50,10.62,-0.81,9.60,3.47,8.40,0.03,NA
CHINEM078,6/19/2017,Emmonak Test Fishery,769,6.46,7.75,34.00,4.21,3.22,6.31,9.64,34.00,-0.80,10.58,3.45,8.47,0.01,NA
CHINEM079,6/19/2017,Emmonak Test Fishery,670,4.34,5.06,6.59,2.33,1.96,1.88,8.17,34.00,-1.80,9.10,2.61,6.39,0.02,NA
CHINEM080,6/20/2017,Emmonak Test Fishery,720,5.05,8.15,8.56,3.39,2.46,3.64,9.73,34.00,-1.63,11.28,3.11,8.88,0.00,NA
CHINEM081,6/20/2017,Emmonak Test Fishery,762,4.63,4.88,7.26,3.21,2.65,0.89,8.32,34.00,-1.98,8.08,2.71,6.37,0.00,NA
CHINEM082,6/20/2017,Emmonak Test Fishery,719,5.99,6.40,10.41,4.10,2.78,4.61,9.79,34.00,-1.03,11.50,3.12,9.43,0.01,NA
CHINEM083,6/21/2017,Emmonak Test Fishery,838,6.13,8.22,7.42,0.84,1.49,-0.78,7.38,7.95,-0.55,34.00,2.06,7.41,0.10,NA
CHINEM085,6/21/2017,Emmonak Test Fishery,822,6.63,8.09,11.90,2.45,2.66,-0.76,9.89,6.27,0.35,10.60,3.67,8.30,0.01,NA
CHINEM086,6/21/2017,Emmonak Test Fishery,764,6.80,8.38,34.00,2.90,3.55,2.07,8.77,9.20,-0.88,10.67,3.33,8.71,0.01,NA
CHINEM087,6/21/2017,Emmonak Test Fishery,801,8.15,11.47,34.00,2.43,3.25,-0.05,9.00,10.19,-0.67,12.15,4.69,9.90,0.47,NA
CHINEM088,6/21/2017,Emmonak Test Fishery,782,4.76,6.93,8.55,3.05,2.61,2.85,7.74,11.27,-1.92,9.18,3.20,7.19,2.05,NA
CHINEM089,6/21/2017,Emmonak Test Fishery,805,6.14,8.32,8.36,2.45,2.65,2.69,8.44,34.00,-0.34,10.09,3.99,7.14,0.01,NA
CHINGR001,7/4/2016,Gisasa River,676,8.51,7.46,11.00,6.13,0.47,1.76,11.17,15.87,1.36,10.65,3.30,11.37,0.07,NA
CHINGR002,7/4/2016,Gisasa River,623,7.14,6.65,10.37,6.13,-0.59,1.07,10.97,14.38,1.06,10.36,2.57,9.94,0.12,NA
CHINGR003,7/4/2016,Gisasa River,690,6.68,6.66,7.90,0.66,-1.65,1.57,7.98,13.79,0.79,8.60,1.87,10.53,0.10,NA
CHINGR004,7/4/2016,Gisasa River,661,6.94,6.79,8.24,0.38,-0.75,1.89,8.89,14.10,-0.04,9.47,2.26,11.15,0.51,NA
CHINGR005,7/4/2016,Gisasa River,643,6.51,4.98,8.26,2.85,-0.27,1.68,10.55,34.00,1.32,9.73,1.86,9.71,0.02,NA
CHINGR006,7/4/2016,Gisasa River,578,6.48,6.85,7.98,2.08,0.98,2.77,9.47,15.65,0.11,10.10,2.62,10.56,0.02,NA
CHINGR007,7/4/2016,Gisasa River,894,7.83,7.97,8.93,5.68,-0.12,2.00,8.62,13.21,0.32,6.23,2.34,10.88,0.28,NA
CHINGR008,7/4/2016,Gisasa River,568,8.13,7.31,9.13,6.04,0.16,1.22,9.60,14.03,0.31,10.23,2.86,10.31,0.05,NA
CHINGR009,7/5/2016,Gisasa River,674,7.34,7.01,8.31,3.62,-0.38,2.04,8.83,34.00,0.81,10.80,2.70,11.02,0.15,NA
CHINGR011,7/5/2016,Gisasa River,680,6.80,6.13,7.05,-0.21,0.95,2.46,8.28,13.64,0.01,9.67,2.50,10.68,0.03,NA
CHINGR012,7/5/2016,Gisasa River,756,8.01,7.33,9.46,5.01,0.02,0.99,9.13,8.48,-0.02,8.38,2.99,11.01,0.61,NA
CHINGR013,7/5/2016,Gisasa River,519,6.28,6.57,8.07,4.44,-0.48,0.04,10.13,13.65,0.52,9.86,2.45,9.69,0.03,NA
CHINGR015,7/5/2016,Gisasa River,729,7.00,7.73,8.64,2.99,1.07,1.82,8.96,8.29,0.04,9.02,3.79,13.58,0.06,NA
CHINGR016,7/5/2016,Gisasa River,771,7.53,7.87,10.11,7.22,0.13,-0.41,11.75,14.50,1.25,8.67,2.77,12.15,0.17,NA
CHINGR017,7/5/2016,Gisasa River,617,7.17,5.90,8.75,4.43,0.14,0.54,8.83,12.59,0.49,8.87,2.74,11.12,0.20,NA
CHINGR018,7/11/2016,Gisasa River,770,8.19,7.30,10.14,6.16,-0.49,0.64,10.49,10.56,0.97,9.42,3.38,11.74,0.77,NA
CHINGR019,7/11/2016,Gisasa River,820,9.32,7.94,11.74,5.60,0.14,2.05,10.34,13.07,1.69,8.94,2.92,12.74,0.16,NA
CHINGR020,7/11/2016,Gisasa River,747,7.86,7.83,8.59,3.63,0.62,2.79,8.98,13.68,0.26,10.02,2.85,12.03,0.08,NA
CHINGR021,7/11/2016,Gisasa River,535,7.20,6.59,8.73,3.99,0.53,2.11,8.73,14.59,-0.68,11.09,2.73,10.40,0.20,NA
CHINGR022,7/11/2016,Gisasa River,543,7.65,5.91,10.30,6.03,0.26,1.89,10.19,15.20,0.21,10.53,2.80,10.62,0.03,NA
CHINGR023,7/12/2016,Gisasa River,659,7.82,7.08,11.01,5.46,0.58,2.66,11.09,16.28,0.66,9.38,3.16,10.42,0.04,NA
CHINGR024,7/12/2016,Gisasa River,818,7.46,7.26,10.58,8.10,-0.40,1.61,12.43,34.00,0.79,8.69,2.58,10.89,0.07,NA
CHINGR025,7/12/2016,Gisasa River,537,7.67,8.15,9.96,7.37,0.54,2.84,11.24,34.00,0.35,12.37,3.37,10.31,0.01,NA
CHINGR026,7/12/2016,Gisasa River,738,7.88,6.57,8.58,1.63,1.16,2.14,10.13,13.65,-0.25,8.92,2.62,11.73,0.04,NA
CHINGR027,7/12/2016,Gisasa River,680,7.45,6.56,10.07,6.59,-0.67,0.76,11.37,17.44,0.26,10.45,2.58,11.40,0.06,NA
CHINGR028,7/12/2016,Gisasa River,736,7.83,7.74,9.77,3.28,0.85,1.16,8.75,11.70,-0.19,9.49,3.84,12.36,0.50,NA
CHINGR029,7/12/2016,Gisasa River,540,7.87,7.56,9.03,1.97,2.53,3.67,8.91,12.33,-0.28,7.97,2.55,10.83,0.20,NA
CHINGR030,7/18/2016,Gisasa River,793,8.35,7.84,10.84,5.33,-0.22,0.90,8.60,13.96,-0.48,8.08,3.35,12.63,0.28,NA
CHINGR031,7/18/2016,Gisasa River,626,8.28,7.92,10.35,5.64,0.30,3.25,10.04,16.26,-0.33,11.58,3.18,10.17,0.53,NA
CHINGR032,7/18/2016,Gisasa River,678,9.17,7.72,10.05,1.00,1.21,1.65,7.38,34.00,-2.40,10.74,2.75,11.42,0.74,NA
CHINGR033,7/18/2016,Gisasa River,537,9.18,9.63,11.15,5.23,0.96,1.94,8.33,15.48,-1.16,9.92,3.25,11.98,0.46,NA
CHINGR034,7/18/2016,Gisasa River,633,7.27,5.09,9.35,6.17,-1.05,0.86,10.73,34.00,0.98,9.92,2.22,10.41,0.21,NA
CHINGR035,7/18/2016,Gisasa River,803,9.09,9.83,11.83,4.65,0.96,0.75,9.71,9.50,0.17,10.22,3.80,12.17,1.92,NA
CHINGR036,7/18/2016,Gisasa River,520,8.78,7.56,10.06,6.06,0.40,0.86,9.00,34.00,-0.29,10.01,3.16,12.40,0.34,NA
CHINGR037,7/18/2016,Gisasa River,635,8.82,8.35,34.00,5.20,1.13,0.95,5.75,34.00,-3.52,10.80,2.72,10.10,0.58,NA
CHINGR038,7/18/2016,Gisasa River,649,7.88,9.29,10.58,4.71,0.41,2.12,7.01,34.00,-2.91,11.97,2.61,10.65,1.90,NA
CHINGR039,7/18/2016,Gisasa River,538,7.26,7.30,10.04,3.80,0.37,0.76,6.71,34.00,-3.14,10.85,2.58,9.89,0.59,NA
CHINGR040,7/18/2016,Gisasa River,671,7.24,7.84,9.70,4.04,0.01,1.13,7.21,34.00,-2.44,9.46,2.78,10.11,0.98,NA
CHINGR041,7/3/2017,Gisasa River,733,5.68,6.19,8.54,5.18,0.97,0.45,34.00,34.00,2.10,9.51,2.39,7.97,0.03,NA
CHINGR042,7/3/2017,Gisasa River,642,5.80,8.24,9.56,3.82,1.99,0.85,9.65,34.00,-0.78,34.00,2.98,8.02,0.01,NA
CHINGR043,7/3/2017,Gisasa River,687,6.61,7.31,9.72,4.92,1.07,0.84,10.61,34.00,0.79,34.00,3.13,9.37,0.02,NA
CHINGR045,7/3/2017,Gisasa River,501,6.38,7.11,10.37,5.85,1.38,0.41,8.48,34.00,-0.28,11.05,3.33,10.47,0.01,NA
CHINGR046,7/3/2017,Gisasa River,475,5.73,6.27,8.29,5.81,1.47,0.67,9.13,34.00,0.73,9.31,3.20,6.41,0.03,NA
CHINGR047,7/4/2017,Gisasa River,710,6.19,7.39,9.65,5.03,0.98,1.36,10.59,34.00,0.99,34.00,3.42,34.00,0.88,NA
CHINGR048,7/4/2017,Gisasa River,520,6.20,6.29,8.43,6.06,1.91,0.98,9.22,34.00,1.05,10.84,3.35,9.42,0.01,NA
CHINGR049,7/4/2017,Gisasa River,618,6.87,8.02,34.00,5.25,1.26,0.93,8.96,34.00,-0.98,10.07,3.78,9.67,0.08,NA
CHINGR050,7/4/2017,Gisasa River,644,34.00,6.16,34.00,4.59,1.99,0.25,34.00,34.00,-0.41,34.00,3.69,34.00,0.05,NA
CHINGR051,7/4/2017,Gisasa River,816,7.30,8.24,12.21,4.81,0.98,0.08,10.06,8.58,0.10,10.39,3.21,34.00,1.23,NA
CHINGR052,7/4/2017,Gisasa River,666,5.30,5.46,7.90,6.19,0.53,0.84,34.00,34.00,-0.56,9.36,2.51,34.00,0.08,NA
CHINGR053,7/4/2017,Gisasa River,790,7.02,6.74,34.00,5.51,1.40,-1.27,34.00,34.00,-0.76,9.49,3.12,9.92,0.33,NA
CHINGR054,7/4/2017,Gisasa River,765,6.75,6.97,9.99,3.80,1.09,-0.82,10.99,34.00,0.03,34.00,3.05,11.15,0.47,NA
CHINGR055,7/11/2017,Gisasa River,622,7.08,8.85,9.89,6.08,0.42,1.24,9.64,34.00,-0.49,11.00,3.34,34.00,0.34,NA
CHINGR056,7/11/2017,Gisasa River,690,6.12,7.69,34.00,4.78,-0.26,-0.28,34.00,34.00,0.80,12.29,3.08,10.73,1.20,NA
CHINGR057,7/11/2017,Gisasa River,629,7.91,10.11,11.63,6.08,0.47,2.96,10.72,34.00,1.30,13.04,4.18,10.62,0.09,NA
CHINGR058,7/11/2017,Gisasa River,498,6.16,8.40,11.52,5.33,1.69,1.51,7.41,34.00,-0.80,12.95,3.51,10.71,3.48,NA
CHINGR059,7/11/2017,Gisasa River,714,4.97,6.84,34.00,5.93,0.50,2.57,9.29,34.00,-1.19,8.75,3.38,8.82,0.53,NA
CHINGR060,7/11/2017,Gisasa River,750,8.57,8.02,11.82,4.89,0.49,1.00,9.28,14.71,-0.04,11.77,4.09,11.42,1.55,NA
CHINGR061,7/11/2017,Gisasa River,674,7.60,10.29,34.00,5.66,1.10,2.97,10.05,34.00,0.61,10.99,4.52,34.00,0.89,NA
CHINGR062,7/12/2017,Gisasa River,803,6.18,34.00,34.00,4.28,-1.59,-0.02,34.00,34.00,3.12,34.00,2.50,34.00,1.18,NA
CHINGR063,7/12/2017,Gisasa River,711,7.76,9.25,34.00,6.10,0.24,3.18,10.45,34.00,1.16,11.64,4.02,10.45,0.15,NA
CHINGR064,7/12/2017,Gisasa River,518,6.41,9.22,34.00,5.27,1.73,3.61,8.66,34.00,-1.54,34.00,4.07,10.27,1.03,NA
CHINGR065,7/12/2017,Gisasa River,727,6.12,8.38,9.85,3.15,0.14,0.28,11.38,34.00,1.87,9.65,4.09,8.66,5.36,NA
CHINGR066,7/12/2017,Gisasa River,764,5.89,8.31,11.43,4.81,1.24,3.02,9.63,13.54,-0.51,10.01,3.82,9.25,0.16,NA
CHINGR067,7/12/2017,Gisasa River,526,5.46,7.00,8.60,6.38,1.14,2.60,9.49,34.00,0.14,34.00,3.27,8.88,0.00,NA
CHINGR068,7/12/2017,Gisasa River,673,5.69,6.58,9.14,5.68,-0.14,0.93,10.07,34.00,0.64,10.85,2.87,11.32,0.13,NA
CHINGR069,7/19/2017,Gisasa River,758,5.08,7.24,6.91,4.79,0.28,2.03,34.00,34.00,1.15,8.68,3.25,7.73,0.65,NA
CHINGR070,7/19/2017,Gisasa River,702,5.47,6.96,9.86,4.81,-1.07,1.13,8.58,34.00,0.66,9.04,3.27,8.09,0.36,NA
CHINGR071,7/19/2017,Gisasa River,777,5.62,6.91,34.00,5.65,-1.07,0.48,11.68,34.00,1.54,10.80,2.70,9.11,0.49,NA
CHINGR072,7/19/2017,Gisasa River,673,6.02,8.95,34.00,5.48,-0.21,-0.25,8.18,34.00,-0.49,11.11,3.95,10.64,0.50,NA
CHINGR073,7/19/2017,Gisasa River,872,7.84,9.78,11.64,5.12,0.23,2.72,11.29,34.00,2.43,11.93,4.52,11.21,0.18,NA
CHINGR074,7/19/2017,Gisasa River,504,5.85,7.93,34.00,5.37,0.15,2.73,7.90,34.00,-0.08,34.00,3.92,8.02,0.57,NA
CHINGR075,7/19/2017,Gisasa River,670,6.96,9.13,10.76,3.76,1.21,2.79,10.05,34.00,0.64,12.34,4.36,10.94,0.18,NA
CHINGR076,7/19/2017,Gisasa River,513,5.79,6.79,9.67,4.64,0.75,2.64,9.54,34.00,-0.79,11.15,3.92,9.38,0.59,NA
CHINGR077,7/20/2017,Gisasa River,720,6.18,7.77,34.00,4.42,-0.05,2.50,9.17,11.88,-1.34,9.73,3.49,8.83,0.26,NA
CHINGR078,7/20/2017,Gisasa River,775,7.32,10.13,11.53,4.52,0.29,0.72,34.00,34.00,0.43,12.28,4.75,11.19,1.49,NA
CHINGR079,7/20/2017,Gisasa River,503,7.84,9.35,10.75,5.87,0.81,3.40,10.50,34.00,0.80,12.07,4.02,11.38,0.48,NA
CHINGR080,7/20/2017,Gisasa River,732,34.00,7.72,34.00,4.33,0.84,2.08,9.86,12.34,1.50,34.00,4.43,34.00,0.49,NA
CHINRA001,7/6/2016,Rapids Fish Wheel,530,7.40,9.50,9.11,6.48,0.56,2.45,8.09,12.86,-0.97,10.34,3.79,9.58,0.01,NA
CHINRA002,7/6/2016,Rapids Fish Wheel,550,6.35,7.32,7.94,6.63,-1.39,1.22,11.26,34.00,0.05,9.54,1.98,10.38,0.04,NA
CHINRA003,7/6/2016,Rapids Fish Wheel,520,6.87,8.63,8.14,2.43,0.22,2.22,9.82,34.00,1.32,9.51,3.06,9.84,0.03,NA
CHINRA005,7/6/2016,Rapids Fish Wheel,690,7.67,10.10,9.22,5.47,0.23,2.43,10.88,17.69,0.65,10.07,3.37,11.34,0.02,NA
CHINRA006,7/6/2016,Rapids Fish Wheel,810,7.16,7.98,8.43,1.88,-1.01,2.20,11.28,16.67,2.02,9.37,2.87,9.58,0.05,NA
CHINRA007,7/6/2016,Rapids Fish Wheel,790,7.91,9.43,9.59,6.39,-0.15,0.50,10.88,16.02,0.61,10.11,3.40,11.82,0.03,NA
CHINRA008,7/6/2016,Rapids Fish Wheel,400,7.30,8.75,8.62,7.72,0.14,1.55,10.42,16.24,0.58,10.57,3.21,10.48,0.03,NA
CHINRA009,7/6/2016,Rapids Fish Wheel,365,7.36,8.85,9.68,7.42,-0.05,0.25,11.06,16.71,0.73,11.19,2.68,10.31,0.05,NA
CHINRA010,7/6/2016,Rapids Fish Wheel,705,6.45,8.08,7.45,2.33,-0.67,0.95,9.33,13.69,-0.05,9.70,2.35,9.24,0.04,NA
CHINRA011,7/6/2016,Rapids Fish Wheel,700,6.87,8.43,8.41,6.46,-0.51,2.36,10.42,16.65,-0.39,9.42,2.87,9.62,0.02,NA
CHINRA012,7/6/2016,Rapids Fish Wheel,660,7.29,9.06,8.53,0.35,0.35,3.08,9.80,14.57,0.20,10.13,2.91,10.50,0.14,NA
CHINRA013,7/6/2016,Rapids Fish Wheel,745,7.47,8.67,9.28,5.01,0.56,2.41,10.16,18.18,0.92,9.30,3.16,10.50,2.10,NA
CHINRA014,7/6/2016,Rapids Fish Wheel,580,7.24,8.47,9.09,6.61,-0.08,1.91,11.06,34.00,1.03,10.82,3.05,11.09,0.01,NA
CHINRA015,7/6/2016,Rapids Fish Wheel,530,7.25,9.16,9.46,6.71,-0.38,4.64,11.32,34.00,0.38,10.30,2.89,9.74,0.01,NA
CHINRA016,7/6/2016,Rapids Fish Wheel,535,6.69,7.81,8.42,3.01,-0.64,2.85,10.00,34.00,0.00,10.10,2.49,10.54,0.13,NA
CHINRA017,7/6/2016,Rapids Fish Wheel,605,7.06,8.15,7.93,0.81,0.34,2.93,7.84,15.25,-1.69,8.96,2.62,10.20,0.03,NA
CHINRA018,7/6/2016,Rapids Fish Wheel,630,8.25,9.96,9.24,4.61,1.41,4.88,8.52,34.00,-1.78,11.12,2.83,12.12,0.01,NA
